signal_date,code,name,buy_close
2026-06-02,002281,002281,215.11
2026-06-02,002384,002384,210.93
2026-06-02,300666,300666,209.22
2026-06-03,000988,000988,154.39
2026-06-03,300054,300054,70.4
2026-06-03,300604,300604,214.25
2026-06-03,301095,301095,103.68
2026-06-03,301308,301308,532.51
2026-06-03,688003,688003,111.31
2026-06-03,688008,688008,253.9
2026-06-03,688037,688037,256.95
2026-06-03,688072,688072,615.49
2026-06-03,688256,688256,1378.1
2026-06-03,688313,688313,168.86
2026-06-04,002008,002008,134.65
2026-06-04,300042,300042,67.43
2026-06-04,300260,300260,60.7
2026-06-04,300567,300567,203.8
2026-06-04,300776,300776,164.3
2026-06-04,600707,600707,10.95
2026-06-04,688126,688126,28.85
2026-06-04,688200,688200,441.0
2026-06-04,688206,688206,39.0
2026-06-04,688711,688711,34.47
2026-06-04,688766,688766,427.35
2026-06-05,300136,300136,106.33
2026-06-05,300346,300346,57.03
2026-06-05,300623,300623,33.27
2026-06-05,601636,601636,7.03
2026-06-05,603688,603688,69.49
2026-06-05,688170,688170,80.15
2026-06-08,300223,300223,149.26
2026-06-08,688206,688206,39.88
2026-06-09,002134,002134,28.59
2026-06-09,002364,002364,55.14
2026-06-09,300236,300236,95.8
2026-06-09,300373,300373,107.88
2026-06-09,600176,600176,39.12
2026-06-09,688183,688183,124.9
2026-06-09,688187,688187,57.9
2026-06-09,688409,688409,164.59
2026-06-09,688711,688711,35.69
2026-06-10,000021,000021,38.56
2026-06-10,603228,603228,75.34
2026-06-10,688072,688072,618.0
2026-06-12,301200,301200,277.0
2026-06-12,600601,600601,12.89
2026-06-12,688003,688003,105.49
2026-06-15,002281,002281,225.47
2026-06-15,300308,300308,1245.0
2026-06-15,300620,300620,343.05
2026-06-15,300726,300726,72.41
2026-06-15,300757,300757,636.66
2026-06-15,600460,600460,35.37
2026-06-15,600584,600584,74.32
2026-06-15,601138,601138,73.4
2026-06-15,688008,688008,240.1
2026-06-15,688170,688170,81.24
2026-06-15,688313,688313,166.53
2026-06-15,688347,688347,238.28
2026-06-15,688396,688396,68.85
2026-06-16,000733,000733,56.34
2026-06-16,002156,002156,62.93
2026-06-16,002185,002185,17.82
2026-06-16,002491,002491,26.1
2026-06-16,600707,600707,11.51
2026-06-16,603267,603267,72.23
2026-06-24,688206,688206,39.78
2026-06-25,603228,603228,77.63
2026-06-26,600367,600367,58.28
